student_id,avg_score,score_std,min_score,max_score,avg_attendance,avg_study_hours,avg_assignment_completion,final_cgpa,first_semester_score,score_improvement,classification,learner_score
STU2024_0001,59.73606401132953,14.069878237399774,36.89495650227219,72.46990624459963,72.35778056312306,15.346198355295423,65.33870931334795,5.973606401132953,56.53180539691972,3.2042586144098095,Moderate Learner,2
STU2024_0005,62.663995029286355,5.1142498165617525,58.858349083787594,71.26947526396538,71.53097973127566,12.910077379889922,68.80239475153951,6.2663995029286355,59.73744014182251,2.926554887463844,Moderate Learner,2
STU2024_0011,69.4090184404566,11.392881226369651,51.84794707461991,78.85253460010992,69.53685466781056,12.755159662207372,71.2740435697777,6.94090184404566,64.47477571931164,4.934242721144969,Slow Learner,1
STU2024_0013,64.79226506052159,8.301322357785825,54.52890706468698,77.01576968128184,83.02051621266591,14.582470172191762,84.97391887877069,6.479226506052159,63.59348480011273,1.1987802604088529,Slow Learner,1
STU2024_0019,64.99508926619646,8.008100364152856,58.39443465221531,77.80951868639302,83.3645458790935,16.09217547140389,71.28581007157368,6.4995089266196455,58.39443465221531,6.600654613981149,Fast Learner,3
STU2024_0023,67.12709607086254,8.530682656682501,55.88062372707508,75.63329935706025,71.13662291139573,16.525887168267676,69.5068823274538,6.7127096070862535,60.77697769314921,6.350118377713322,Moderate Learner,2
STU2024_0031,60.44895601933341,8.327858757802733,52.36184699616781,73.54707722121469,76.45860226664468,11.913049746964171,72.35104504639266,6.044895601933341,52.36184699616781,8.087109023165596,Moderate Learner,2
STU2024_0032,62.79862281519745,9.061575407192716,54.02579640908379,73.55419628732393,69.46507645267128,13.531389825720174,73.69728952207092,6.279862281519745,71.59192082661501,-8.793298011417562,Slow Learner,1
STU2024_0034,66.36379253850376,10.650869006148707,53.015669266215326,78.49760742600516,71.39224483820624,14.243385275953187,68.44597644546779,6.636379253850376,59.1600877121246,7.203704826379159,Slow Learner,1
STU2024_0040,66.97965030188207,8.267015657984837,59.478301546572794,81.09427714883545,75.49543640798659,11.96992378433106,76.91483496377262,6.697965030188207,63.449288771722266,3.5303615301598086,Moderate Learner,2
STU2024_0045,64.48344165934097,8.140195919470084,51.82413724006588,73.36102129508046,74.54859698209872,12.961711006568601,68.45343350589404,6.448344165934097,51.82413724006588,12.659304419275088,Fast Learner,3
STU2024_0046,60.96801697514286,11.423730757714948,49.198175382879555,76.3166544956842,73.08048608202449,12.244219282683522,73.807338513535,6.096801697514286,66.34629148144457,-5.3782745063017074,Fast Learner,3
STU2024_0054,64.26020761433257,11.301966976200376,45.36604470249209,75.94248437074285,76.68296872239122,16.595702471574633,67.40867988698155,6.426020761433257,66.65646650883959,-2.396258894507014,Slow Learner,1
STU2024_0071,64.96064059633629,3.91360774332038,61.37191178575783,70.64871440127888,78.2289304097409,12.008669428873535,77.55933934297425,6.496064059633629,63.94948975497993,1.0111508413563612,Moderate Learner,2
STU2024_0074,61.68203990302487,4.870636775255195,55.2380445260236,68.17666386860039,71.77639697148376,18.826310065342685,77.95826680481716,6.168203990302487,68.17666386860039,-6.494623965575514,Moderate Learner,2
STU2024_0077,64.45162010893335,9.607934316728223,54.43356760828885,80.43571528432545,73.71797969165132,17.479024725124123,79.81896048105554,6.445162010893336,62.429334456153555,2.0222856527798,Moderate Learner,2
STU2024_0078,66.64001309154787,4.070554550479421,60.61344013814407,70.52777327249953,81.38729776426501,15.694096623191072,79.31407009749573,6.664001309154787,64.89012609323537,1.7498869983125047,Moderate Learner,2
STU2024_0081,62.97990351805815,3.976406347778953,59.542101253104946,68.95811762118721,73.53479185323344,17.92794546255582,73.88249591092254,6.297990351805815,59.542101253104946,3.4378022649532056,Fast Learner,3
STU2024_0084,64.18299645974113,12.592724325069891,42.86756159511953,74.54338361778424,76.28492176734377,14.819194047288438,83.7424031402565,6.4182996459741135,63.97648775743037,0.20650870231076368,Moderate Learner,2
STU2024_0091,64.26833815242922,6.773203943773108,57.308649188660894,75.07706299533989,67.41947253693414,18.196626796018244,66.28521895377405,6.426833815242922,65.8951086684392,-1.6267705160099837,Slow Learner,1
